Participant ID,Alternative,Choice,Collab,Users,Data
27,2,0,Yes,Yes,Yes
27,3,1,No,No,Yes
27,4,0,Yes,No,No
28,1,0,No,Yes,No
28,2,0,Yes,Yes,Yes
28,3,0,No,No,Yes
28,4,1,Yes,No,No
29,1,0,No,Yes,No
29,2,1,Yes,Yes,Yes
29,3,0,No,No,Yes
29,4,0,Yes,No,No
30,1,0,No,Yes,No
30,2,0,Yes,Yes,Yes
30,3,0,No,No,Yes
30,4,1,Yes,No,No
31,1,0,No,Yes,No
31,2,0,Yes,Yes,Yes
31,3,0,No,No,Yes
31,4,1,Yes,No,No
32,1,0,No,Yes,No
32,2,1,Yes,Yes,Yes
32,3,0,No,No,Yes
32,4,0,Yes,No,No
33,1,0,No,Yes,No
33,2,1,Yes,Yes,Yes
33,3,0,No,No,Yes
33,4,0,Yes,No,No
34,1,0,No,Yes,No
34,2,0,Yes,Yes,Yes
34,3,0,No,No,Yes
34,4,1,Yes,No,No
35,1,0,No,Yes,No
35,2,0,Yes,Yes,Yes
35,3,0,No,No,Yes
35,4,1,Yes,No,No
36,1,0,No,Yes,No
36,2,0,Yes,Yes,Yes
36,3,0,No,No,Yes
36,4,1,Yes,No,No
37,1,1,No,Yes,No
37,2,0,Yes,Yes,Yes
37,3,0,No,No,Yes
37,4,0,Yes,No,No
38,1,0,No,Yes,No
38,2,0,Yes,Yes,Yes
38,3,0,No,No,Yes
38,4,1,Yes,No,No
39,1,0,No,Yes,No
39,2,1,Yes,Yes,Yes
39,3,0,No,No,Yes
39,4,0,Yes,No,No
40,1,1,No,Yes,No
40,2,0,Yes,Yes,Yes
40,3,0,No,No,Yes
40,4,0,Yes,No,No
41,1,0,No,Yes,No
41,2,0,Yes,Yes,Yes
41,3,0,No,No,Yes
41,4,1,Yes,No,No
42,1,0,No,Yes,No
42,2,0,Yes,Yes,Yes
42,3,0,No,No,Yes
42,4,1,Yes,No,No
43,1,0,No,Yes,No
43,2,0,Yes,Yes,Yes
43,3,0,No,No,Yes
43,4,1,Yes,No,No
44,1,0,No,Yes,No
44,2,1,Yes,Yes,Yes
44,3,0,No,No,Yes
44,4,0,Yes,No,No
45,1,0,No,Yes,No
45,2,1,Yes,Yes,Yes
45,3,0,No,No,Yes
45,4,0,Yes,No,No
46,1,1,No,Yes,No
46,2,0,Yes,Yes,Yes
46,3,0,No,No,Yes
46,4,0,Yes,No,No
47,1,1,No,Yes,No
47,2,0,Yes,Yes,Yes
47,3,0,No,No,Yes
47,4,0,Yes,No,No
48,1,0,No,Yes,No
48,2,0,Yes,Yes,Yes
48,3,0,No,No,Yes
48,4,1,Yes,No,No
49,1,0,No,Yes,No
49,2,0,Yes,Yes,Yes
49,3,0,No,No,Yes
49,4,1,Yes,No,No
50,1,1,No,Yes,No
50,2,0,Yes,Yes,Yes
50,3,0,No,No,Yes
50,4,0,Yes,No,No
51,1,1,No,Yes,No
51,2,0,Yes,Yes,Yes
51,3,0,No,No,Yes
51,4,0,Yes,No,No
52,1,0,No,Yes,No
52,2,0,Yes,Yes,Yes
52,3,1,No,No,Yes
52,4,0,Yes,No,No
53,1,0,No,Yes,No
53,2,0,Yes,Yes,Yes
53,3,1,No,No,Yes
53,4,0,Yes,No,No
54,1,0,No,Yes,No
54,2,0,Yes,Yes,Yes
54,3,1,No,No,Yes
54,4,0,Yes,No,No
55,1,0,No,Yes,No
55,2,0,Yes,Yes,Yes
55,3,1,No,No,Yes
55,4,0,Yes,No,No
56,1,0,No,Yes,No
56,2,0,Yes,Yes,Yes
56,3,0,No,No,Yes
56,4,1,Yes,No,No
57,1,1,No,Yes,No
57,2,0,Yes,Yes,Yes
57,3,0,No,No,Yes
57,4,0,Yes,No,No
58,1,0,No,Yes,No
58,2,1,Yes,Yes,Yes
58,3,0,No,No,Yes
58,4,0,Yes,No,No
59,1,0,No,Yes,No
59,2,0,Yes,Yes,Yes
59,3,0,No,No,Yes
59,4,1,Yes,No,No
60,1,0,No,Yes,No
60,2,1,Yes,Yes,Yes
60,3,0,No,No,Yes
60,4,0,Yes,No,No
61,1,1,No,Yes,No
61,2,0,Yes,Yes,Yes
61,3,0,No,No,Yes
61,4,0,Yes,No,No
62,1,0,No,Yes,No
62,2,0,Yes,Yes,Yes
62,3,1,No,No,Yes
62,4,0,Yes,No,No
63,1,0,No,Yes,No
63,2,0,Yes,Yes,Yes
63,3,0,No,No,Yes
63,4,1,Yes,No,No
64,1,1,No,Yes,No
64,2,0,Yes,Yes,Yes
64,3,0,No,No,Yes
64,4,0,Yes,No,No
65,1,0,No,Yes,No
65,2,0,Yes,Yes,Yes
65,3,0,No,No,Yes
65,4,1,Yes,No,No
66,1,0,No,Yes,No
66,2,0,Yes,Yes,Yes
66,3,0,No,No,Yes
66,4,1,Yes,No,No
67,1,0,No,Yes,No
67,2,0,Yes,Yes,Yes
67,3,1,No,No,Yes
67,4,0,Yes,No,No
68,1,1,No,Yes,No
68,2,0,Yes,Yes,Yes
68,3,0,No,No,Yes
68,4,0,Yes,No,No
69,1,1,No,Yes,No
69,2,0,Yes,Yes,Yes
69,3,0,No,No,Yes
69,4,0,Yes,No,No
70,1,0,No,Yes,No
70,2,0,Yes,Yes,Yes
70,3,0,No,No,Yes
70,4,1,Yes,No,No
71,1,0,No,Yes,No
71,2,0,Yes,Yes,Yes
71,3,0,No,No,Yes
71,4,1,Yes,No,No
72,1,1,No,Yes,No
72,2,0,Yes,Yes,Yes
72,3,0,No,No,Yes
72,4,0,Yes,No,No
73,1,0,No,Yes,No
73,2,0,Yes,Yes,Yes
73,3,0,No,No,Yes
73,4,1,Yes,No,No
74,1,0,No,Yes,No
74,2,0,Yes,Yes,Yes
74,3,0,No,No,Yes
74,4,1,Yes,No,No
75,1,0,No,Yes,No
75,2,0,Yes,Yes,Yes
75,3,0,No,No,Yes
75,4,1,Yes,No,No
76,1,0,No,Yes,No
76,2,0,Yes,Yes,Yes
76,3,0,No,No,Yes
76,4,1,Yes,No,No
77,1,0,No,Yes,No
77,2,1,Yes,Yes,Yes
77,3,0,No,No,Yes
77,4,0,Yes,No,No
78,1,1,No,Yes,No
78,2,0,Yes,Yes,Yes
78,3,0,No,No,Yes
78,4,0,Yes,No,No
79,1,1,No,Yes,No
79,2,0,Yes,Yes,Yes
79,3,0,No,No,Yes
79,4,0,Yes,No,No
80,1,0,No,Yes,No
80,2,0,Yes,Yes,Yes
80,3,1,No,No,Yes
80,4,0,Yes,No,No
81,1,0,No,Yes,No
81,2,1,Yes,Yes,Yes
81,3,0,No,No,Yes
81,4,0,Yes,No,No
82,1,1,No,Yes,No
82,2,0,Yes,Yes,Yes
82,3,0,No,No,Yes
82,4,0,Yes,No,No
83,1,0,No,Yes,No
83,2,0,Yes,Yes,Yes
83,3,0,No,No,Yes
83,4,1,Yes,No,No
84,1,1,No,Yes,No
84,2,0,Yes,Yes,Yes
84,3,0,No,No,Yes
84,4,0,Yes,No,No
85,1,1,No,Yes,No
85,2,0,Yes,Yes,Yes
85,3,0,No,No,Yes
85,4,0,Yes,No,No
86,1,0,No,Yes,No
86,2,0,Yes,Yes,Yes
86,3,1,No,No,Yes
86,4,0,Yes,No,No
87,1,0,No,Yes,No
87,2,0,Yes,Yes,Yes
87,3,1,No,No,Yes
87,4,0,Yes,No,No
88,1,1,No,Yes,No
88,2,0,Yes,Yes,Yes
88,3,0,No,No,Yes
88,4,0,Yes,No,No
89,1,0,No,Yes,No
89,2,0,Yes,Yes,Yes
89,3,0,No,No,Yes
89,4,1,Yes,No,No
90,1,0,No,Yes,No
90,2,0,Yes,Yes,Yes
90,3,1,No,No,Yes
90,4,0,Yes,No,No
91,1,0,No,Yes,No
91,2,1,Yes,Yes,Yes
91,3,0,No,No,Yes
91,4,0,Yes,No,No
92,1,0,No,Yes,No
92,2,1,Yes,Yes,Yes
92,3,0,No,No,Yes
92,4,0,Yes,No,No
93,1,0,No,Yes,No
93,2,1,Yes,Yes,Yes
93,3,0,No,No,Yes
93,4,0,Yes,No,No
94,1,0,No,Yes,No
94,2,0,Yes,Yes,Yes
94,3,0,No,No,Yes
94,4,1,Yes,No,No
95,1,0,No,Yes,No
95,2,0,Yes,Yes,Yes
95,3,1,No,No,Yes
95,4,0,Yes,No,No
96,1,1,No,Yes,No
96,2,0,Yes,Yes,Yes
96,3,0,No,No,Yes
96,4,0,Yes,No,No
97,1,0,No,Yes,No
97,2,0,Yes,Yes,Yes
97,3,0,No,No,Yes
97,4,1,Yes,No,No
98,1,0,No,Yes,No
98,2,0,Yes,Yes,Yes
98,3,0,No,No,Yes
98,4,1,Yes,No,No
99,1,0,No,Yes,No
99,2,0,Yes,Yes,Yes
99,3,0,No,No,Yes
99,4,1,Yes,No,No
100,1,0,No,Yes,No
100,2,1,Yes,Yes,Yes
100,3,0,No,No,Yes
100,4,0,Yes,No,No
101,1,0,No,Yes,No
101,2,0,Yes,Yes,Yes
101,3,0,No,No,Yes
101,4,1,Yes,No,No
102,1,0,No,Yes,No
102,2,0,Yes,Yes,Yes
102,3,1,No,No,Yes
102,4,0,Yes,No,No
103,1,1,No,Yes,No
103,2,0,Yes,Yes,Yes
103,3,0,No,No,Yes
103,4,0,Yes,No,No
104,1,0,No,Yes,No
104,2,0,Yes,Yes,Yes
104,3,1,No,No,Yes
104,4,0,Yes,No,No
105,1,0,No,Yes,No
105,2,0,Yes,Yes,Yes
105,3,1,No,No,Yes
105,4,0,Yes,No,No
106,1,0,No,Yes,No
106,2,0,Yes,Yes,Yes
106,3,1,No,No,Yes
106,4,0,Yes,No,No
107,1,0,No,Yes,No
107,2,1,Yes,Yes,Yes
107,3,0,No,No,Yes
107,4,0,Yes,No,No
108,1,0,No,Yes,No
108,2,0,Yes,Yes,Yes
108,3,1,No,No,Yes
108,4,0,Yes,No,No
109,1,1,No,Yes,No
109,2,0,Yes,Yes,Yes
109,3,0,No,No,Yes
109,4,0,Yes,No,No
110,1,0,No,Yes,No
110,2,1,Yes,Yes,Yes
110,3,0,No,No,Yes
110,4,0,Yes,No,No
111,1,0,No,Yes,No
111,2,0,Yes,Yes,Yes
111,3,1,No,No,Yes
111,4,0,Yes,No,No
112,1,0,No,Yes,No
112,2,1,Yes,Yes,Yes
112,3,0,No,No,Yes
112,4,0,Yes,No,No
113,1,0,No,Yes,No
113,2,1,Yes,Yes,Yes
113,3,0,No,No,Yes
113,4,0,Yes,No,No
114,1,0,No,Yes,No
114,2,0,Yes,Yes,Yes
114,3,0,No,No,Yes
114,4,1,Yes,No,No
115,1,0,No,Yes,No
115,2,0,Yes,Yes,Yes
115,3,1,No,No,Yes
115,4,0,Yes,No,No
116,1,0,No,Yes,No
116,2,0,Yes,Yes,Yes
116,3,1,No,No,Yes
116,4,0,Yes,No,No
117,1,0,No,Yes,No
117,2,1,Yes,Yes,Yes
117,3,0,No,No,Yes
117,4,0,Yes,No,No
118,1,0,No,Yes,No
118,2,0,Yes,Yes,Yes
118,3,0,No,No,Yes
118,4,1,Yes,No,No
119,1,0,No,Yes,No
119,2,1,Yes,Yes,Yes
119,3,0,No,No,Yes
119,4,0,Yes,No,No
120,1,0,No,Yes,No
120,2,0,Yes,Yes,Yes
120,3,0,No,No,Yes
120,4,1,Yes,No,No
121,1,0,No,Yes,No
121,2,0,Yes,Yes,Yes
121,3,0,No,No,Yes
121,4,1,Yes,No,No
122,1,0,No,Yes,No
122,2,0,Yes,Yes,Yes
122,3,1,No,No,Yes
122,4,0,Yes,No,No
123,1,0,No,Yes,No
123,2,0,Yes,Yes,Yes
123,3,1,No,No,Yes
123,4,0,Yes,No,No
124,1,1,No,Yes,No
124,2,0,Yes,Yes,Yes
124,3,0,No,No,Yes
124,4,0,Yes,No,No
125,1,0,No,Yes,No
125,2,0,Yes,Yes,Yes
125,3,1,No,No,Yes
125,4,0,Yes,No,No
126,1,0,No,Yes,No
126,2,0,Yes,Yes,Yes
126,3,0,No,No,Yes
126,4,1,Yes,No,No
127,1,0,No,Yes,No
127,2,1,Yes,Yes,Yes
127,3,0,No,No,Yes
127,4,0,Yes,No,No
128,1,1,No,Yes,No
128,2,0,Yes,Yes,Yes
128,3,0,No,No,Yes
128,4,0,Yes,No,No
129,1,0,No,Yes,No
129,2,0,Yes,Yes,Yes
129,3,1,No,No,Yes
129,4,0,Yes,No,No
130,1,1,No,Yes,No
130,2,0,Yes,Yes,Yes
130,3,0,No,No,Yes
130,4,0,Yes,No,No
131,1,0,No,Yes,No
131,2,1,Yes,Yes,Yes
131,3,0,No,No,Yes
131,4,0,Yes,No,No
132,1,1,No,Yes,No
132,2,0,Yes,Yes,Yes
132,3,0,No,No,Yes
132,4,0,Yes,No,No
133,1,0,No,Yes,No
133,2,1,Yes,Yes,Yes
133,3,0,No,No,Yes
133,4,0,Yes,No,No
134,1,1,No,Yes,No
134,2,0,Yes,Yes,Yes
134,3,0,No,No,Yes
134,4,0,Yes,No,No
135,1,0,No,Yes,No
135,2,1,Yes,Yes,Yes
135,3,0,No,No,Yes
135,4,0,Yes,No,No
136,1,0,No,Yes,No
136,2,0,Yes,Yes,Yes
136,3,0,No,No,Yes
136,4,1,Yes,No,No
137,1,1,No,Yes,No
137,2,0,Yes,Yes,Yes
137,3,0,No,No,Yes
137,4,0,Yes,No,No
138,1,0,No,Yes,No
138,2,1,Yes,Yes,Yes
138,3,0,No,No,Yes
138,4,0,Yes,No,No
139,1,0,No,Yes,No
139,2,1,Yes,Yes,Yes
139,3,0,No,No,Yes
139,4,0,Yes,No,No
140,1,0,No,Yes,No
140,2,0,Yes,Yes,Yes
140,3,0,No,No,Yes
140,4,1,Yes,No,No
141,1,0,No,Yes,No
141,2,1,Yes,Yes,Yes
141,3,0,No,No,Yes
141,4,0,Yes,No,No
142,1,1,No,Yes,No
142,2,0,Yes,Yes,Yes
142,3,0,No,No,Yes
142,4,0,Yes,No,No
143,1,0,No,Yes,No
143,2,0,Yes,Yes,Yes
143,3,1,No,No,Yes
143,4,0,Yes,No,No
144,1,0,No,Yes,No
144,2,1,Yes,Yes,Yes
144,3,0,No,No,Yes
144,4,0,Yes,No,No
145,1,1,No,Yes,No
145,2,0,Yes,Yes,Yes
145,3,0,No,No,Yes
145,4,0,Yes,No,No
146,1,0,No,Yes,No
146,2,0,Yes,Yes,Yes
146,3,0,No,No,Yes
146,4,1,Yes,No,No
147,1,0,No,Yes,No
147,2,0,Yes,Yes,Yes
147,3,0,No,No,Yes
147,4,1,Yes,No,No
148,1,0,No,Yes,No
148,2,0,Yes,Yes,Yes
148,3,0,No,No,Yes
148,4,1,Yes,No,No
149,1,0,No,Yes,No
149,2,0,Yes,Yes,Yes
149,3,0,No,No,Yes
149,4,1,Yes,No,No
150,1,0,No,Yes,No
150,2,0,Yes,Yes,Yes
150,3,1,No,No,Yes
150,4,0,Yes,No,No
151,1,1,No,Yes,No
151,2,0,Yes,Yes,Yes
151,3,0,No,No,Yes
151,4,0,Yes,No,No
152,1,0,No,Yes,No
152,2,0,Yes,Yes,Yes
152,3,0,No,No,Yes
152,4,1,Yes,No,No
153,1,0,No,Yes,No
153,2,1,Yes,Yes,Yes
153,3,0,No,No,Yes
153,4,0,Yes,No,No
154,1,0,No,Yes,No
154,2,0,Yes,Yes,Yes
154,3,1,No,No,Yes
154,4,0,Yes,No,No
155,1,0,No,Yes,No
155,2,1,Yes,Yes,Yes
155,3,0,No,No,Yes
155,4,0,Yes,No,No
156,1,0,No,Yes,No
156,2,0,Yes,Yes,Yes
156,3,1,No,No,Yes
156,4,0,Yes,No,No
157,1,0,No,Yes,No
157,2,1,Yes,Yes,Yes
157,3,0,No,No,Yes
157,4,0,Yes,No,No
158,1,1,No,Yes,No
158,2,0,Yes,Yes,Yes
158,3,0,No,No,Yes
158,4,0,Yes,No,No
159,1,1,No,Yes,No
159,2,0,Yes,Yes,Yes
159,3,0,No,No,Yes
159,4,0,Yes,No,No
160,1,0,No,Yes,No
160,2,0,Yes,Yes,Yes
160,3,0,No,No,Yes
160,4,1,Yes,No,No
161,1,0,No,Yes,No
161,2,0,Yes,Yes,Yes
161,3,0,No,No,Yes
161,4,1,Yes,No,No
162,1,0,No,Yes,No
162,2,0,Yes,Yes,Yes
162,3,0,No,No,Yes
162,4,1,Yes,No,No
163,1,0,No,Yes,No
163,2,0,Yes,Yes,Yes
163,3,1,No,No,Yes
163,4,0,Yes,No,No
164,1,0,No,Yes,No
164,2,0,Yes,Yes,Yes
164,3,0,No,No,Yes
164,4,1,Yes,No,No
165,1,1,No,Yes,No
165,2,0,Yes,Yes,Yes
165,3,0,No,No,Yes
165,4,0,Yes,No,No
166,1,0,No,Yes,No
166,2,0,Yes,Yes,Yes
166,3,1,No,No,Yes
166,4,0,Yes,No,No
167,1,0,No,Yes,No
167,2,0,Yes,Yes,Yes
167,3,1,No,No,Yes
167,4,0,Yes,No,No
168,1,0,No,Yes,No
168,2,0,Yes,Yes,Yes
168,3,1,No,No,Yes
168,4,0,Yes,No,No
169,1,0,No,Yes,No
169,2,0,Yes,Yes,Yes
169,3,1,No,No,Yes
169,4,0,Yes,No,No
170,1,0,No,Yes,No
170,2,0,Yes,Yes,Yes
170,3,1,No,No,Yes
170,4,0,Yes,No,No
171,1,0,No,Yes,No
171,2,0,Yes,Yes,Yes
171,3,1,No,No,Yes
171,4,0,Yes,No,No
172,1,1,No,Yes,No
172,2,0,Yes,Yes,Yes
172,3,0,No,No,Yes
172,4,0,Yes,No,No
173,1,0,No,Yes,No
173,2,1,Yes,Yes,Yes
173,3,0,No,No,Yes
173,4,0,Yes,No,No
174,1,1,No,Yes,No
174,2,0,Yes,Yes,Yes
174,3,0,No,No,Yes
174,4,0,Yes,No,No
175,1,0,No,Yes,No
175,2,0,Yes,Yes,Yes
175,3,0,No,No,Yes
175,4,1,Yes,No,No
176,1,0,No,Yes,No
176,2,1,Yes,Yes,Yes
176,3,0,No,No,Yes
176,4,0,Yes,No,No
177,1,0,No,Yes,No
177,2,0,Yes,Yes,Yes
177,3,1,No,No,Yes
177,4,0,Yes,No,No
178,1,0,No,Yes,No
178,2,0,Yes,Yes,Yes
178,3,0,No,No,Yes
178,4,1,Yes,No,No
179,1,0,No,Yes,No
179,2,0,Yes,Yes,Yes
179,3,1,No,No,Yes
179,4,0,Yes,No,No
180,1,0,No,Yes,No
180,2,0,Yes,Yes,Yes
180,3,1,No,No,Yes
180,4,0,Yes,No,No
181,1,1,No,Yes,No
181,2,0,Yes,Yes,Yes
181,3,0,No,No,Yes
181,4,0,Yes,No,No
182,1,0,No,Yes,No
182,2,0,Yes,Yes,Yes
182,3,0,No,No,Yes
182,4,1,Yes,No,No
183,1,0,No,Yes,No
183,2,0,Yes,Yes,Yes
183,3,1,No,No,Yes
183,4,0,Yes,No,No
184,1,0,No,Yes,No
184,2,0,Yes,Yes,Yes
184,3,0,No,No,Yes
184,4,1,Yes,No,No
185,1,0,No,Yes,No
185,2,0,Yes,Yes,Yes
185,3,0,No,No,Yes
185,4,1,Yes,No,No
186,1,0,No,Yes,No
186,2,0,Yes,Yes,Yes
186,3,0,No,No,Yes
186,4,1,Yes,No,No
187,1,0,No,Yes,No
187,2,0,Yes,Yes,Yes
187,3,1,No,No,Yes
187,4,0,Yes,No,No
188,1,0,No,Yes,No
188,2,0,Yes,Yes,Yes
188,3,1,No,No,Yes
188,4,0,Yes,No,No
189,1,0,No,Yes,No
189,2,0,Yes,Yes,Yes
189,3,1,No,No,Yes
189,4,0,Yes,No,No
190,1,0,No,Yes,No
190,2,0,Yes,Yes,Yes
190,3,1,No,No,Yes
190,4,0,Yes,No,No
191,1,0,No,Yes,No
191,2,0,Yes,Yes,Yes
191,3,0,No,No,Yes
191,4,1,Yes,No,No
192,1,0,No,Yes,No
192,2,1,Yes,Yes,Yes
192,3,0,No,No,Yes
192,4,0,Yes,No,No
193,1,0,No,Yes,No
193,2,1,Yes,Yes,Yes
193,3,0,No,No,Yes
193,4,0,Yes,No,No
194,1,0,No,Yes,No
194,2,1,Yes,Yes,Yes
194,3,0,No,No,Yes
194,4,0,Yes,No,No
195,1,0,No,Yes,No
195,2,1,Yes,Yes,Yes
195,3,0,No,No,Yes
195,4,0,Yes,No,No
196,1,0,No,Yes,No
196,2,0,Yes,Yes,Yes
196,3,0,No,No,Yes
196,4,1,Yes,No,No
197,1,0,No,Yes,No
197,2,0,Yes,Yes,Yes
197,3,1,No,No,Yes
197,4,0,Yes,No,No
198,1,0,No,Yes,No
198,2,0,Yes,Yes,Yes
198,3,0,No,No,Yes
198,4,1,Yes,No,No
199,1,0,No,Yes,No
199,2,0,Yes,Yes,Yes
199,3,0,No,No,Yes
199,4,1,Yes,No,No
200,1,1,No,Yes,No
200,2,0,Yes,Yes,Yes
200,3,0,No,No,Yes
200,4,0,Yes,No,No
